role,experience,experience_code,peopleparticipation,peopleparticipation_code,dashboarduse,aiuse,understanding,access,equity,traceability,effectiveness
Developer,8+,3,4-6,1,0,1,1,5,2,1,1
Executive director,2-4,1,more than 10,3,0,0,4,4,1,3,1
Developer,8+,3,2-3,0,1,1,1,4,2,2,1
Project manager,2-4,1,2-3,0,1,1,2,2,3,1,0
Analyst,0-1,0,2-3,0,1,1,2,2,3,2,0
Executive director,8+,3,more than 10,3,0,1,2,5,1,2,1
Developer,8+,3,2-3,0,1,1,2,4,2,1,0
Developer,2-4,1,2-3,0,1,0,3,3,4,1,1
Developer,0-1,0,2-3,0,1,0,1,2,4,1,1
Developer,8+,3,4-6,1,1,0,1,4,2,2,1
Developer,8+,3,2-3,0,0,1,2,3,1,2,0
Executive director,2-4,1,2-3,0,1,1,4,5,1,2,1
Project manager,2-4,1,2-3,0,1,0,2,2,3,3,0
Developer,2-4,1,2-3,0,1,0,1,3,3,3,1
Developer,2-4,1,2-3,0,1,1,1,4,1,1,1
Project manager,2-4,1,4-6,1,1,1,4,4,3,3,0
Developer,2-4,1,more than 10,3,1,1,1,5,2,1,1
Analyst,2-4,1,2-3,0,1,1,2,4,4,2,1
Project manager,8+,3,2-3,0,1,0,1,3,3,2,0
Other,0-1,0,7-10,2,1,1,3,2,2,2,0
Developer,2-4,1,4-6,1,1,0,2,4,3,2,1
Developer,0-1,0,4-6,1,1,1,2,5,3,4,1
Developer,8+,3,4-6,1,0,0,1,3,3,1,0
Project manager,8+,3,4-6,1,1,1,4,3,3,2,0
Project manager,2-4,1,more than 10,3,0,1,4,5,1,3,1
Executive director,2-4,1,more than 10,3,0,0,1,2,2,2,0
Developer,0-1,0,2-3,0,0,1,2,4,3,2,0
Project manager,8+,3,4-6,1,1,1,1,3,1,4,0
Other,2-4,1,4-6,1,1,1,3,3,3,2,1
Project manager,8+,3,4-6,1,1,0,3,3,3,2,0
Developer,2-4,1,more than 10,3,0,1,2,5,2,2,1
Developer,0-1,0,2-3,0,1,1,2,3,2,1,1
Developer,2-4,1,2-3,0,0,1,4,5,3,5,1
Project manager,8+,3,more than 10,3,1,0,2,2,2,2,1
Other,2-4,1,more than 10,3,0,1,4,3,1,3,0
Other,0-1,0,4-6,1,1,0,3,2,3,3,1
Developer,2-4,1,2-3,0,1,1,2,4,1,2,0
Project manager,2-4,1,4-6,1,1,1,1,4,2,3,1
Developer,0-1,0,more than 10,3,1,1,4,3,2,2,0
Project manager,8+,3,4-6,1,1,0,3,1,3,2,0
Project manager,8+,3,2-3,0,1,0,2,3,2,2,1
Executive director,8+,3,2-3,0,1,0,3,4,1,1,0
Developer,2-4,1,2-3,0,1,1,2,4,1,2,1
Project manager,8+,3,2-3,0,1,1,1,5,3,1,0
Project manager,2-4,1,4-6,1,0,0,3,5,3,3,1
Other,0-1,0,7-10,2,1,0,1,1,3,4,1
Developer,2-4,1,more than 10,3,1,1,3,3,2,1,0
Project manager,8+,3,2-3,0,0,1,3,3,2,1,0
Project manager,8+,3,more than 10,3,1,1,1,4,2,3,0
Project manager,2-4,1,2-3,0,1,0,2,3,2,2,0
Developer,2-4,1,2-3,0,1,0,1,3,2,2,1
Project manager,5-7,2,2-3,0,1,1,3,3,4,2,1
Developer,2-4,1,2-3,0,1,0,2,2,2,1,0
Developer,8+,3,2-3,0,1,0,2,4,3,1,1
Project manager,8+,3,4-6,1,1,0,3,3,3,3,0
Developer,0-1,0,4-6,1,1,1,3,3,4,2,0
Project manager,2-4,1,4-6,1,1,0,1,3,4,2,1
Project manager,8+,3,2-3,0,1,0,1,5,1,2,1
Developer,8+,3,2-3,0,1,1,1,4,1,2,1
Project manager,8+,3,2-3,0,1,1,3,3,4,2,0
Developer,2-4,1,2-3,0,1,1,3,5,2,3,1
Project manager,8+,3,2-3,0,1,1,1,3,3,4,1
Project manager,2-4,1,4-6,1,1,0,3,3,4,4,0
Developer,2-4,1,4-6,1,1,1,2,2,4,3,1
Project manager,0-1,0,4-6,1,1,0,3,1,4,3,0
Project manager,8+,3,2-3,0,0,0,3,3,3,3,0
Other,2-4,1,4-6,1,1,0,1,3,2,1,1
Executive director,0-1,0,2-3,0,0,0,3,3,3,2,1
Developer,0-1,0,7-10,2,1,1,3,3,3,2,0
Project manager,8+,3,more than 10,3,1,0,2,5,2,1,1
Project manager,0-1,0,4-6,1,1,0,2,4,5,4,1
Developer,8+,3,7-10,2,1,0,2,3,2,2,0
Project manager,8+,3,more than 10,3,1,1,2,5,4,3,1
Project manager,2-4,1,4-6,1,0,1,2,3,3,1,1
Developer,2-4,1,2-3,0,0,1,3,5,2,2,1
Executive director,2-4,1,2-3,0,1,0,3,5,3,1,0
Project manager,0-1,0,4-6,1,1,1,1,3,4,3,1
Executive director,8+,3,2-3,0,1,1,2,3,1,1,1
Developer,0-1,0,2-3,0,1,1,2,4,4,2,1
Project manager,0-1,0,2-3,0,1,1,4,3,3,4,0
Project manager,8+,3,2-3,0,1,1,1,2,2,2,1
Developer,0-1,0,2-3,0,0,1,2,4,2,2,0
Project manager,2-4,1,2-3,0,1,1,1,5,2,1,1
Project manager,8+,3,2-3,0,1,1,2,4,3,3,0
Project manager,8+,3,2-3,0,1,1,2,3,1,3,0
Executive director,2-4,1,4-6,1,0,1,1,2,2,1,1
Developer,2-4,1,2-3,0,1,1,1,4,2,3,0
Project manager,2-4,1,2-3,0,0,1,4,4,1,5,0
Executive director,8+,3,2-3,0,0,1,2,4,3,2,1
Developer,8+,3,2-3,0,1,1,1,5,2,2,1
Project manager,8+,3,2-3,0,1,1,3,4,3,2,0
Executive director,0-1,0,4-6,1,1,0,3,4,3,2,1
Developer,2-4,1,2-3,0,1,1,1,3,1,1,0
Developer,8+,3,2-3,0,1,1,1,5,1,2,1
Developer,2-4,1,2-3,0,0,1,2,4,2,2,1
Developer,2-4,1,more than 10,3,1,1,4,5,2,3,0
Developer,2-4,1,2-3,0,1,1,2,4,1,3,0
Project manager,0-1,0,4-6,1,1,1,4,4,5,4,1
Developer,8+,3,2-3,0,1,0,2,2,3,2,1
Executive director,2-4,1,2-3,0,0,1,2,4,2,4,1
Developer,0-1,0,2-3,0,1,1,1,4,1,2,1
Project manager,2-4,1,more than 10,3,1,0,1,3,3,3,1
Developer,0-1,0,2-3,0,1,1,2,3,3,2,1
Other,0-1,0,2-3,0,1,0,1,2,3,3,1
Project manager,8+,3,more than 10,3,1,0,1,2,3,3,0
Developer,8+,3,4-6,1,1,1,2,3,2,1,0
Project manager,8+,3,2-3,0,1,1,3,3,3,3,1
Executive director,2-4,1,4-6,1,1,0,3,2,3,3,0
Developer,8+,3,2-3,0,0,0,3,5,3,2,0
Project manager,2-4,1,2-3,0,1,0,2,2,3,3,0
Developer,2-4,1,2-3,0,1,0,4,2,3,1,0
Project manager,2-4,1,2-3,0,1,1,2,1,3,3,1
Project manager,8+,3,more than 10,3,1,1,2,3,2,3,1
Executive director,0-1,0,more than 10,3,0,0,3,2,3,2,0
Project manager,2-4,1,2-3,0,1,1,1,3,2,4,1
Project manager,2-4,1,2-3,0,1,0,2,3,2,2,1
Developer,2-4,1,4-6,1,1,1,1,1,3,2,0
Other,0-1,0,2-3,0,1,1,3,2,2,3,1
Project manager,2-4,1,more than 10,3,0,0,4,4,4,3,0
Other,8+,3,2-3,0,1,0,1,3,3,1,0
Project manager,0-1,0,2-3,0,1,0,3,4,3,1,0
Developer,8+,3,2-3,0,1,0,2,4,1,2,1
Project manager,8+,3,2-3,0,1,1,3,2,3,3,1
Project manager,0-1,0,2-3,0,1,1,2,3,3,1,0
Executive director,2-4,1,more than 10,3,1,1,4,5,2,2,1
Project manager,8+,3,2-3,0,1,1,1,4,3,1,0
Developer,0-1,0,2-3,0,1,1,3,4,4,2,1
Project manager,2-4,1,2-3,0,1,0,3,1,3,4,1
Project manager,8+,3,2-3,0,1,1,1,4,1,1,0
Project manager,2-4,1,2-3,0,1,1,2,5,2,4,1
Project manager,8+,3,2-3,0,1,0,1,2,2,2,1
Project manager,2-4,1,4-6,1,1,0,1,2,3,2,1
Project manager,2-4,1,4-6,1,1,1,3,2,4,3,1
Developer,8+,3,2-3,0,1,0,3,5,4,1,1
Project manager,8+,3,2-3,0,1,1,2,5,2,2,0
Project manager,8+,3,2-3,0,1,0,2,4,1,2,0
Developer,2-4,1,2-3,0,1,0,2,4,1,1,1
Developer,2-4,1,more than 10,3,1,0,3,2,3,1,1
Developer,8+,3,2-3,0,0,0,1,3,2,1,1
Project manager,2-4,1,2-3,0,1,1,3,4,3,2,1
Developer,2-4,1,4-6,1,0,1,2,4,2,2,0
Developer,8+,3,2-3,0,0,1,1,5,2,1,1
Project manager,8+,3,2-3,0,0,1,2,3,2,2,1
Developer,2-4,1,7-10,2,1,0,3,3,2,3,1
Developer,0-1,0,2-3,0,0,0,3,2,4,2,1
Executive director,0-1,0,2-3,0,1,1,1,2,2,2,1
Project manager,0-1,0,2-3,0,0,1,4,3,4,5,0
Other,2-4,1,4-6,1,0,1,3,2,3,3,0
Project manager,0-1,0,2-3,0,1,1,2,3,3,4,1
Developer,2-4,1,2-3,0,1,1,3,4,2,4,1
Project manager,8+,3,more than 10,3,1,1,3,3,1,2,0
Developer,8+,3,7-10,2,1,1,1,4,4,1,0
Executive director,8+,3,more than 10,3,1,0,2,4,2,1,1
Project manager,8+,3,7-10,2,0,1,3,4,2,3,1
Project manager,8+,3,2-3,0,1,0,1,3,4,3,0
Developer,8+,3,2-3,0,0,0,3,2,3,3,0
Project manager,2-4,1,more than 10,3,1,0,5,3,4,5,1
Developer,2-4,1,4-6,1,1,1,2,3,1,1,1
Project manager,8+,3,more than 10,3,1,1,4,2,2,3,0
Other,2-4,1,2-3,0,1,0,2,3,3,3,1
Analyst,8+,3,4-6,1,0,1,2,4,1,2,1
Developer,0-1,0,2-3,0,1,1,4,4,3,2,0
Project manager,8+,3,4-6,1,1,1,2,4,3,2,1
Developer,0-1,0,2-3,0,1,1,3,4,4,2,0
Developer,2-4,1,more than 10,3,1,1,1,5,2,1,0
Project manager,2-4,1,4-6,1,0,0,4,5,3,2,0
Developer,2-4,1,2-3,0,1,0,2,5,1,1,1
Developer,8+,3,2-3,0,1,0,2,5,1,2,1
Developer,2-4,1,4-6,1,1,1,2,2,2,2,1
Project manager,8+,3,more than 10,3,0,1,1,5,1,2,1
Developer,2-4,1,2-3,0,1,1,3,5,2,2,1
Executive director,8+,3,2-3,0,1,1,2,5,1,2,0
Developer,0-1,0,4-6,1,1,0,4,5,3,2,0
Project manager,0-1,0,more than 10,3,0,0,2,1,3,3,1
Developer,2-4,1,2-3,0,0,1,3,2,4,3,1
Other,8+,3,7-10,2,1,1,2,3,3,1,0
Project manager,2-4,1,2-3,0,0,0,3,4,3,2,1
Project manager,8+,3,2-3,0,1,1,1,5,1,1,0
Developer,2-4,1,2-3,0,1,1,3,3,5,2,1
Executive director,2-4,1,2-3,0,1,1,2,3,3,3,1
Project manager,0-1,0,2-3,0,1,1,2,3,3,3,1
Other,8+,3,7-10,2,1,1,1,4,3,4,1
Developer,8+,3,7-10,2,1,0,2,5,2,2,1
Project manager,8+,3,2-3,0,1,0,2,3,3,2,0
Project manager,8+,3,2-3,0,1,0,2,3,2,3,1
Developer,2-4,1,2-3,0,0,1,3,4,2,3,0
Developer,2-4,1,more than 10,3,1,0,2,2,1,2,1
Project manager,8+,3,2-3,0,1,0,1,3,4,1,1
Project manager,2-4,1,2-3,0,0,1,3,3,2,2,0
Developer,2-4,1,2-3,0,0,1,3,4,2,3,1
Developer,2-4,1,4-6,1,1,0,4,2,3,2,0
Project manager,2-4,1,4-6,1,1,1,3,2,2,4,1
Developer,2-4,1,2-3,0,0,0,4,3,3,1,0
Developer,0-1,0,2-3,0,0,0,1,4,4,2,1
Developer,2-4,1,2-3,0,1,0,3,4,2,2,0
Other,2-4,1,4-6,1,1,1,1,1,2,2,0
Developer,2-4,1,2-3,0,1,0,2,4,2,2,1
Other,2-4,1,2-3,0,1,0,2,3,2,2,1
Developer,0-1,0,2-3,0,1,1,3,5,1,3,1
Other,8+,3,more than 10,3,1,0,2,5,2,3,1
Developer,2-4,1,2-3,0,1,1,1,4,4,2,1
Other,2-4,1,2-3,0,1,0,2,3,3,2,1
Project manager,8+,3,2-3,0,1,1,1,5,2,4,1
Developer,0-1,0,2-3,0,0,0,2,3,4,2,1
Developer,0-1,0,4-6,1,1,1,2,3,1,3,1
Developer,8+,3,4-6,1,0,1,1,4,1,2,0
Developer,2-4,1,2-3,0,0,1,3,3,2,2,0
Developer,2-4,1,4-6,1,1,1,3,5,2,2,1
Project manager,0-1,0,4-6,1,1,1,1,4,4,2,1
Other,8+,3,2-3,0,1,0,1,3,3,3,1
Other,2-4,1,more than 10,3,1,1,3,4,2,3,1
Executive director,8+,3,more than 10,3,1,1,2,4,1,3,1
Project manager,8+,3,2-3,0,1,0,2,3,3,4,0
Executive director,0-1,0,4-6,1,1,1,2,4,3,2,1
Project manager,2-4,1,2-3,0,1,0,3,4,2,3,0
Executive director,2-4,1,4-6,1,1,1,2,3,1,1,1
Other,2-4,1,4-6,1,1,1,3,4,3,2,1
Executive director,8+,3,2-3,0,1,1,4,2,3,1,0
Developer,0-1,0,more than 10,3,1,0,4,2,3,1,0
Other,2-4,1,4-6,1,1,1,3,3,4,2,1
Project manager,0-1,0,2-3,0,0,1,3,3,4,4,0
Developer,0-1,0,4-6,1,1,1,4,5,3,1,1
Project manager,8+,3,2-3,0,1,1,4,5,2,3,1
Developer,2-4,1,4-6,1,1,1,2,5,4,3,1
Developer,8+,3,more than 10,3,1,1,2,3,2,2,1
Developer,2-4,1,2-3,0,1,1,1,4,2,2,1
Developer,2-4,1,more than 10,3,0,1,2,2,1,3,1
Project manager,0-1,0,2-3,0,1,0,2,4,2,2,1
Developer,0-1,0,more than 10,3,1,1,3,4,5,2,0
Developer,8+,3,2-3,0,1,1,2,3,2,2,1
Developer,0-1,0,4-6,1,1,0,2,3,3,2,1
Developer,8+,3,more than 10,3,0,0,2,3,1,2,0
Developer,2-4,1,2-3,0,0,0,4,5,1,4,0
Developer,8+,3,4-6,1,0,1,3,5,3,1,1
Project manager,0-1,0,2-3,0,1,1,5,4,4,3,1
Project manager,8+,3,4-6,1,1,1,2,5,3,3,1
Analyst,2-4,1,more than 10,3,0,1,3,2,2,2,0
Executive director,2-4,1,7-10,2,1,1,1,5,1,1,1
Project manager,8+,3,4-6,1,1,1,1,5,3,2,1
Executive director,8+,3,2-3,0,0,0,4,1,2,1,0
Project manager,2-4,1,2-3,0,1,0,3,4,1,4,0
Developer,2-4,1,4-6,1,1,0,2,4,2,2,1
Other,0-1,0,4-6,1,1,1,3,4,3,2,0
Developer,8+,3,4-6,1,1,1,1,4,3,2,1
Developer,0-1,0,4-6,1,0,1,3,4,2,2,1
Developer,2-4,1,2-3,0,0,0,2,4,2,1,1
Developer,2-4,1,2-3,0,1,1,3,3,3,3,0
Other,2-4,1,4-6,1,1,1,2,3,4,1,0
Project manager,2-4,1,more than 10,3,1,0,3,3,3,2,0
Developer,8+,3,2-3,0,1,1,3,3,4,3,0
Project manager,2-4,1,more than 10,3,1,1,4,2,3,3,1
Project manager,2-4,1,more than 10,3,0,1,3,3,2,1,0
Developer,8+,3,2-3,0,1,0,1,4,1,4,0
Project manager,8+,3,2-3,0,1,1,2,4,3,1,1
Other,8+,3,more than 10,3,1,1,1,3,1,2,1
Project manager,8+,3,7-10,2,0,0,3,4,2,1,0
Executive director,8+,3,4-6,1,1,0,4,2,1,2,0
Project manager,2-4,1,4-6,1,1,0,4,2,3,3,1
Developer,8+,3,4-6,1,0,1,1,4,3,1,0
Project manager,0-1,0,4-6,1,0,0,3,3,3,4,1
Project manager,2-4,1,4-6,1,1,1,4,4,2,3,0
Developer,2-4,1,more than 10,3,1,1,3,4,3,2,1
Developer,0-1,0,4-6,1,1,1,1,3,3,2,0
Project manager,8+,3,2-3,0,1,1,2,4,4,4,1
Project manager,0-1,0,2-3,0,1,0,4,5,2,3,0
Project manager,2-4,1,4-6,1,1,1,5,5,1,2,1
Project manager,0-1,0,2-3,0,0,0,3,5,2,2,1
Project manager,2-4,1,2-3,0,0,1,1,3,3,4,1
Developer,0-1,0,more than 10,3,0,0,4,5,3,3,1
Developer,2-4,1,4-6,1,1,1,2,3,2,2,1
Developer,8+,3,2-3,0,1,0,1,3,2,1,1
Project manager,8+,3,2-3,0,1,1,2,4,4,2,0
Developer,2-4,1,2-3,0,1,0,1,4,2,2,1
Developer,0-1,0,4-6,1,1,1,2,3,3,4,1
Project manager,8+,3,7-10,2,1,0,3,2,1,2,0
Developer,2-4,1,2-3,0,0,1,4,4,2,3,0
Developer,8+,3,4-6,1,1,1,3,3,2,2,0
Executive director,8+,3,more than 10,3,1,1,1,1,1,1,0
Project manager,8+,3,2-3,0,1,0,3,5,4,1,1
Project manager,2-4,1,7-10,2,1,0,4,3,4,1,0
Project manager,2-4,1,4-6,1,1,0,1,3,3,4,1
Developer,8+,3,4-6,1,1,0,3,2,3,2,0
Project manager,8+,3,4-6,1,1,1,3,4,3,2,0
Analyst,0-1,0,2-3,0,1,0,4,3,5,2,1
Developer,2-4,1,2-3,0,1,0,1,3,4,4,1
Project manager,8+,3,4-6,1,1,0,2,3,2,2,0
Other,2-4,1,2-3,0,1,1,3,2,4,3,1
Project manager,8+,3,2-3,0,0,1,3,3,3,3,1
Analyst,8+,3,more than 10,3,1,0,2,2,2,2,1
Project manager,8+,3,2-3,0,0,1,3,4,3,2,1
Developer,0-1,0,2-3,0,1,1,2,5,4,3,1
Executive director,2-4,1,2-3,0,1,0,2,2,2,2,1
Developer,8+,3,4-6,1,1,0,2,2,2,1,0
Developer,2-4,1,4-6,1,0,0,3,2,3,3,0
Project manager,2-4,1,2-3,0,1,1,3,4,3,3,0
Project manager,0-1,0,more than 10,3,1,1,4,3,4,3,0
Developer,2-4,1,2-3,0,1,1,3,2,3,3,0
Project manager,2-4,1,more than 10,3,1,1,3,3,1,4,1
Other,2-4,1,2-3,0,1,0,2,3,3,1,1
Project manager,2-4,1,4-6,1,1,1,2,4,2,2,1
Developer,8+,3,2-3,0,1,1,3,3,2,2,0
Project manager,0-1,0,4-6,1,0,1,5,3,3,2,0
Other,8+,3,2-3,0,1,1,2,3,4,1,1
Project manager,2-4,1,more than 10,3,1,0,2,1,1,2,0
Project manager,8+,3,2-3,0,1,1,3,3,1,1,0
Project manager,2-4,1,2-3,0,1,0,1,2,4,2,0
Developer,2-4,1,2-3,0,1,1,1,4,4,3,1
Developer,0-1,0,more than 10,3,1,0,4,3,3,3,0
Analyst,8+,3,more than 10,3,1,0,3,3,1,4,1
Developer,0-1,0,2-3,0,1,1,4,4,3,2,0
Project manager,0-1,0,2-3,0,1,0,2,3,2,2,1
Developer,2-4,1,2-3,0,1,0,3,4,3,4,0
Developer,2-4,1,2-3,0,1,0,2,2,3,2,0
Developer,2-4,1,7-10,2,1,0,2,3,2,1,0
Project manager,2-4,1,more than 10,3,1,0,3,3,2,3,0
Project manager,2-4,1,2-3,0,0,1,3,3,1,3,1
Project manager,2-4,1,more than 10,3,1,1,2,4,3,3,1
Developer,2-4,1,more than 10,3,0,0,3,4,3,4,0
Developer,2-4,1,2-3,0,1,0,2,3,1,2,1
Executive director,2-4,1,4-6,1,1,1,3,3,3,3,1
Developer,8+,3,2-3,0,0,1,1,5,3,2,1
Other,8+,3,2-3,0,1,1,1,4,2,3,1
Project manager,8+,3,7-10,2,0,0,4,2,4,3,1
Developer,2-4,1,more than 10,3,1,0,2,3,3,3,0
Analyst,8+,3,more than 10,3,1,1,3,2,3,3,1
Developer,8+,3,2-3,0,1,0,1,3,1,2,1
Project manager,2-4,1,7-10,2,1,0,4,2,2,4,0
Project manager,2-4,1,2-3,0,1,1,2,2,2,2,1
Developer,2-4,1,2-3,0,1,1,2,5,2,2,0
Project manager,2-4,1,2-3,0,1,1,2,3,3,3,0
Executive director,8+,3,2-3,0,1,1,1,5,2,4,1
Developer,2-4,1,2-3,0,1,0,1,4,4,3,0
Developer,8+,3,2-3,0,1,1,1,3,2,3,0
Project manager,8+,3,2-3,0,1,0,5,4,2,1,0
Executive director,2-4,1,2-3,0,1,1,3,1,2,2,0
Other,8+,3,2-3,0,1,1,2,4,3,2,0
